magnitude,placename,time
4.5,"43km N of Savannah Bight, Honduras",09 Feb 2017 02:14 pm
4.5,"43km SSE of Bristol Island, South Sandwich Islands",10 Feb 2017 12:36 am
4.5,"41km SSE of La Rioja, Argentina",10 Feb 2017 12:45 am
4.5,"13km WNW of Behram, Turkey",10 Feb 2017 12:55 am
4.5,"151km SW of Paracas, Peru",10 Feb 2017 03:57 am
4.5,"77km WSW of Port-Vila, Vanuatu",10 Feb 2017 02:59 pm
4.5,"Off the coast of Aisen, Chile",10 Feb 2017 11:31 pm
4.5,"61km N of Isangel, Vanuatu",11 Feb 2017 01:38 am
4.5,"156km N of Madang, Papua New Guinea",11 Feb 2017 07:10 pm
4.5,"84km NW of Piru, Indonesia",12 Feb 2017 10:14 am
4.5,"29km NNE of Villazon, Bolivia",12 Feb 2017 09:31 pm
4.5,South of the Fiji Islands,13 Feb 2017 04:27 am
4.5,"131km ENE of Ndoi Island, Fiji",13 Feb 2017 03:00 pm
4.5,"10km SE of Jipijapa, Ecuador",14 Feb 2017 08:12 pm
4.5,"55km ENE of Atka, Alaska",15 Feb 2017 07:28 am
4.5,"77km NW of Bonjol, Indonesia",15 Feb 2017 09:33 am
4.5,"135km NW of Mikuni, Japan",15 Feb 2017 11:41 am
4.5,"11km SSW of Coquimbo, Chile",15 Feb 2017 04:19 pm
4.5,"117km NNW of Talcahuano, Chile",16 Feb 2017 11:39 am
4.5,"74km SW of La Gomera, Guatemala",16 Feb 2017 01:48 pm
4.5,"158km SW of Lorengau, Papua New Guinea",16 Feb 2017 02:51 pm
4.5,"26km NW of Antofagasta, Chile",17 Feb 2017 01:17 am
4.5,"209km ENE of Kuril'sk, Russia",17 Feb 2017 10:07 am
4.5,"40km S of Champerico, Guatemala",18 Feb 2017 03:31 pm
4.5,South of the Fiji Islands,18 Feb 2017 11:05 pm
4.5,"38km WNW of Lebu, Chile",19 Feb 2017 07:49 am
4.5,"205km NE of Ndoi Island, Fiji",19 Feb 2017 09:07 am
4.5,"50km N of Amberley, New Zealand",19 Feb 2017 05:16 pm
4.5,"94km S of Ndoi Island, Fiji",19 Feb 2017 09:18 pm
4.5,"36km NNW of Finschhafen, Papua New Guinea",20 Feb 2017 11:03 pm
4.5,"47km NNE of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",21 Feb 2017 05:32 am
